Category,StoreType,OperatingHours,Telephone,Address,lng,lat
NTUC,,12:00 AM - 11:59 PM,"62245703, 62245761","TANJONG PAGAR, 5 Tanjong Pagar Plaza, #01-01, Singapore 81005",103.842421,1.276394
NTUC,FairPrice Finest,8:00 AM - 10:30 PM,"64547738, 64545349","THOMSON PLAZA, 301 Upper Thomson, #03-37/38, Thomson Plaza, Singapore 574408",103.831025,1.354649
NTUC,,12:00 AM - 11:59 PM,"62664822, 62663044","TAMAN JURONG, 399 Yung Sheng Road, #01-35, Taman Jurong Shopping Centre, Singapore 610399",103.720188,1.334341
NTUC,,8:00 AM - 11:00 PM,"62508019, 62534178","TOA PAYOH A, 192 Toa Payoh Lorong 4, #01- 670/672, Singapore 310192",103.85065,1.331722
NTUC,,12:00 AM - 11:59 PM,"63687756, 63681760","WOODLANDS BLK 888, 888 Woodlands Drive 50, #01-757, Singapore 730888",103.795476,1.438552
NTUC,,8:00 AM - 11:00 PM,"65850536, 65850540","WHITESANDS, 1 Pasir Ris Central Street 3, #B1-10, Whitesands, Singapore 518457",103.949405,1.372472
NTUC,,8:00 AM - 10:00 PM,"62655800, 62655183","YUNG KUANG, 63/66 Yung Kuang Road, #01- 119/#02-119, Singapore 610063",103.722517,1.331994
NTUC,,7:00 AM - 11:30 PM,"67554233, 67557705","YISHUN MRT, 301 Yishun Ave 2, #01-02, Yishun Mrt Station, Singapore 769093",103.835188,1.429369
NTUC,FairPrice Xtra,7:00 AM - 11:00 PM,"68810013, 68810134","HYPER HOUGANG ONE, 1 Hougang Street 91, #02- 01, Hougang 1, Singapore 538692",103.879627,1.375286
NTUC,,12:00 AM - 11:59 PM,"68810551, 68810552","RIVERVALE PLAZA, 118 Rivervale Drive, #01-08, Rivervale Plaza, Singapore 540118",103.902941,1.385535
NTUC,,8:00 AM - 10:00 PM,"63844711, 63844709","RIVERVALE MALL, 11 Rivervale Cresent, #03-01, Rivervale Mall, Singapore 545082",103.904656,1.392093
NTUC,,12:00 AM - 11:59 PM,62570679,"YISHUN RING BLK 414, 414 Yishun Ring Road, #01-1853, Singapore 760414",103.846693,1.424445
NTUC,,7:00 AM - 11:59 PM,"62506009, 62505270","TOA PAYOH HDB HUB, 500 Toa Payoh Lorong 6, #B1-32/#01-33, Singapore 310500",103.847057,1.333015
NTUC,,12:00 AM - 11:59 PM,"67550955, 67550976","KHATIB, 849 Yishun Ring Road, #01-3701/3703, Singapore 760849",103.835243,1.416939
NTUC,,12:00 AM - 11:59 PM,67344450,"ORCHARD GRAND COURT, 131 Killiney Road, #01-01/02/03, Orchard Grand Court, Singapore 239571",103.838372,1.297315
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"62590461, 62594437","JUNCTION 8, 9 Bishan Place, #B1-01, Junction 8 Shopping Centre, Singapore 579837",103.848515,1.35063
NTUC,FairPrice Finest,12:00 AM - 11:59 PM,"68931203, 68939576","WOODGROVE, 30 Woodlands Ave 1, #01-11, The Woodgrove, Singapore 739065",103.781193,1.429068
NTUC,,12:00 AM - 11:59 PM,65610042,"BUKIT BATOK EAST, 280 Bukit Batok East Ave 3, #01-315, Singapore 650280",103.757112,1.347599
NTUC,,12:00 AM - 11:59 PM,67631076,"SENJA GRAND, 628 Senja Road, #01-01, Senja Grand, Singapore 670628",103.760094,1.385129
